Time,Cell Name,EPM_RRC_SR,EPM_ERAB_SR,Cluster
2022-08-27,LCAIE10013-5,100.0,100.0,37
2022-08-27,LCAIE10013-2,100.0,99.9704,37
2022-08-27,LCAIN20163-1,100.0,100.0,16
2022-08-27,LCAIN20163-2,99.9835,99.9054,16
2022-08-27,LCAIN20163-3,100.0,99.9692,16
2022-08-27,LCAIN20163-5,100.0,100.0,16
2022-08-27,LCAIN20163-6,100.0,99.8755,16
2022-08-27,LCAIN20163-7,100.0,100.0,16
2022-08-27,LCAIN30175-2,100.0,99.9568,24
2022-08-27,LCAIN30175-3,100.0,99.771,24
2022-08-27,LCAIN30175-5,100.0,99.162,24
2022-08-27,LCAIW30315-1,100.0,99.8715,44
2022-08-27,LCAIW30315-2,100.0,100.0,44
2022-08-27,LCAIW30315-3,100.0,99.5745,44
2022-08-27,LCAIW30315-5,100.0,100.0,44
2022-08-27,LCAIW30315-6,100.0,100.0,44
2022-08-27,LCAIW30315-7,100.0,100.0,44
2022-08-27,LCAIE20058-7,100.0,100.0,36
2022-08-27,LCAIE20058-6,100.0,100.0,36
2022-08-27,LCAIE20058-5,100.0,100.0,36
2022-08-27,LCAIE20058-3,99.9105,99.7361,36
2022-08-27,LCAIE20058-2,100.0,99.813,36
2022-08-27,LCAIE20058-1,99.9668,99.9346,36
2022-08-27,LCAIN10515-1,100.0,100.0,13
2022-08-27,LCAIN10515-7,100.0,100.0,13
2022-08-27,LCAIN20172-1,100.0,99.8726,16
2022-08-27,LCAIN20172-2,100.0,99.8946,16
2022-08-27,LCAIN20172-3,100.0,99.651,16
2022-08-27,LCAIN20172-5,100.0,100.0,49
2022-08-27,LCAIN20172-6,100.0,99.9431,49
2022-08-27,LCAIN20172-7,100.0,100.0,49
2022-08-27,LCAIE10014-7,100.0,100.0,37
2022-08-27,LCAIE10014-6,100.0,99.9231,37
2022-08-27,LCAIE10014-5,100.0,99.7019,37
2022-08-27,LCAIE10014-3,100.0,100.0,37
2022-08-27,LCAIE10014-2,100.0,100.0,37
2022-08-27,LCAIE10014-1,100.0,99.9212,37
2022-08-27,LCAIN10131-1,100.0,99.8965,38
2022-08-27,LCAIN10131-2,100.0,99.8888,38
2022-08-27,LCAIN10131-3,100.0,99.9321,38
2022-08-27,LCAIN10131-5,100.0,100.0,38
2022-08-27,LCAIN10131-6,100.0,99.7904,38
2022-08-27,LCAIN10131-7,99.8603,100.0,38
2022-08-27,LCAIW10051-7,100.0,100.0,31
2022-08-27,LCAIW10051-6,100.0,99.8131,31
2022-08-27,LCAIW10051-5,100.0,97.3799,31
2022-08-27,LCAIW10051-3,100.0,100.0,31
2022-08-27,LCAIW10051-2,100.0,99.8952,31
2022-08-27,LCAIW10051-1,100.0,99.7347,31
2022-08-27,LCAIN30081-1,100.0,100.0,4
2022-08-27,LCAIN30081-2,100.0,100.0,4
2022-08-27,LCAIN30081-3,99.9116,99.5,4
2022-08-27,LCAIN30081-5,100.0,99.815,4
2022-08-27,LCAIN30081-6,100.0,100.0,4
2022-08-27,LCAIN30081-7,99.4444,99.5556,4
2022-08-27,LCAIE20050-7,100.0,99.6667,29
2022-08-27,LCAIE20050-6,99.9452,99.9041,29
2022-08-27,LCAIE20050-5,99.9452,99.8982,29
2022-08-27,LCAIE20050-3,99.9697,99.9704,29
2022-08-27,LCAIE20050-2,99.9736,99.911,29
2022-08-27,LCAIE20050-1,99.9852,99.9713,29
2022-08-27,LCAIE20062-7,100.0,99.9007,36
2022-08-27,LCAIE20062-6,100.0,99.8638,36
2022-08-27,LCAIE20062-5,100.0,100.0,36
2022-08-27,LCAIE20062-3,100.0,99.7432,36
